#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 273158:4915 | 05/11/16 20:42:35 | 1283 | 1279 | 54.088333206   | 50.641511452  |
| 273302:4919 | 05/13/16 02:13:38 | 459  | 459  | 17.147625694   | 16.450121689  |
| 273402:4924 | 05/14/16 01:49:19 | 193  | 193  | 7.022182030    | 6.643307564   |
| 273403:4924 | 05/14/16 03:05:27 | 68   | 65   | 2.481802605    | 1.837158139   |
| 273404:4924 | 05/14/16 03:31:50 | 22   | 22   | 0.797626403    | 0.616224628   |
| 273405:4924 | 05/14/16 03:42:33 | 33   | 28   | 1.190425704    | 0.806200590   |
| 273406:4924 | 05/14/16 03:56:09 | 125  | 117  | 4.440766677    | 3.803280847   |
| 273408:4924 | 05/14/16 04:52:04 | 9    | 8    | 0.315500720    | 0.181778152   |
| 273409:4924 | 05/14/16 04:56:41 | 317  | 314  | 10.855812929   | 9.512812344   |
| 273410:4924 | 05/14/16 06:59:49 | 99   | 98   | 3.294021385    | 2.753035643   |
| 273411:4924 | 05/14/16 07:38:50 | 29   | 29   | 0.791341055    | 0.741045042   |
| 273425:4925 | 05/14/16 11:17:57 | 680  | 678  | 28.697080793   | 26.943659585  |
| 273446:4926 | 05/14/16 20:06:55 | 48   | 46   | 3.362673170    | 2.161349143   |
| 273447:4926 | 05/14/16 20:26:09 | 419  | 419  | 27.969800657   | 26.144151420  |
| 273448:4926 | 05/14/16 23:11:51 | 396  | 396  | 24.328483308   | 22.865029087  |
| 273449:4926 | 05/15/16 01:48:09 | 216  | 216  | 12.516554634   | 11.832252642  |
| 273450:4926 | 05/15/16 03:19:37 | 643  | 643  | 33.907779321   | 32.466916536  |
| 273492:4930 | 05/16/16 09:07:35 | 271  | 267  | 13.073533007   | 12.234310419  |
| 273493:4930 | 05/16/16 10:54:39 | 241  | 236  | 11.385362325   | 10.582759837  |
| 273494:4930 | 05/16/16 12:28:40 | 192  | 192  | 8.782866218    | 8.498378186   |
| 273502:4935 | 05/16/16 20:00:07 | 1002 | 997  | 49.621706519   | 47.207129490  |
| 273503:4935 | 05/17/16 02:31:25 | 598  | 598  | 26.370329990   | 25.558231334  |
| 273554:4942 | 05/18/16 05:30:44 | 368  | 366  | 28.592347012   | 26.915315708  |
| 273555:4942 | 05/18/16 07:55:51 | 173  | 173  | 12.672391167   | 12.263026038  |
| 273725:4947 | 05/20/16 02:37:26 | 2473 | 2470 | 161.911773699  | 155.963856364 |
