#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 278769:5197 | 08/13/16 06:38:56 | 37   | 31   | 9.725138528    | 7.290296385   |
| 278770:5197 | 08/13/16 06:54:00 | 767  | 767  | 172.788929204  | 165.550062142 |
| 278801:5198 | 08/13/16 14:43:37 | 45   | 42   | 12.090862389   | 7.893317208   |
| 278802:5198 | 08/13/16 15:01:05 | 21   | 17   | 4.822326067    | 1.725288660   |
| 278803:5198 | 08/13/16 15:10:53 | 330  | 323  | 81.012942765   | 72.484095681  |
| 278804:5198 | 08/13/16 17:20:06 | 8    | 5    | 1.837693601    | 0.755142511   |
| 278805:5198 | 08/13/16 17:23:10 | 288  | 285  | 62.690101504   | 56.436357049  |
| 278808:5198 | 08/13/16 19:25:19 | 1791 | 1791 | 282.719718879  | 272.186693378 |
| 278820:5199 | 08/14/16 11:00:51 | 1524 | 1524 | 302.396577489  | 289.436861837 |
| 278822:5199 | 08/14/16 21:52:47 | 1627 | 1627 | 199.018809894  | 192.814294878 |
| 278873:5205 | 08/15/16 23:25:45 | 67   | 60   | 12.467991881   | 2.032904330   |
| 278874:5205 | 08/15/16 23:51:53 | 484  | 484  | 89.088337176   | 82.659432331  |
| 278875:5205 | 08/16/16 03:01:20 | 834  | 834  | 121.563483143  | 116.011100563 |
| 278923:5206 | 08/16/16 12:16:32 | 413  | 413  | 104.061633468  | 99.646041291  |
| 278957:5209 | 08/16/16 21:31:36 | 149  | 149  | 38.154003549   | 36.574296408  |
| 278962:5210 | 08/17/16 01:08:31 | 351  | 348  | 84.959953960   | 76.813044621  |
| 278963:5210 | 08/17/16 03:24:57 | 174  | 174  | 38.947004246   | 37.440156936  |
| 278969:5211 | 08/17/16 07:16:52 | 1394 | 1394 | 299.935280710  | 285.918226301 |
| 278975:5211 | 08/17/16 16:23:16 | 857  | 854  | 128.052674773  | 121.101529229 |
| 278976:5211 | 08/17/16 21:58:16 | 20   | 20   | 2.678462011    | 2.577859927   |
| 278986:5213 | 08/18/16 04:02:59 | 129  | 129  | 34.035976042   | 31.910669239  |
| 279024:5219 | 08/18/16 22:31:53 | 301  | 301  | 52.734373596   | 50.088375621  |
| 279029:5219 | 08/19/16 02:19:40 | 260  | 260  | 40.451141244   | 38.452134927  |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 23.702022740   | 22.788490894  |
| 279080:5223 | 08/19/16 22:42:50 | 157  | 157  | 13.339324720   | 12.876333282  |
| 279115:5229 | 08/20/16 22:08:09 | 407  | 407  | 88.522114158   | 85.189739154  |
| 279116:5229 | 08/21/16 01:36:03 | 448  | 448  | 95.442823419   | 91.582775947  |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 6.335006515    | 5.993889315   |
| 279588:5251 | 08/25/16 21:08:11 | 1160 | 1160 | 239.315561700  | 230.879394483 |
| 279653:5253 | 08/26/16 14:05:52 | 188  | 188  | 47.290978624   | 43.879144232  |
| 279654:5253 | 08/26/16 15:21:58 | 1253 | 1245 | 252.231465999  | 242.855226225 |
| 279656:5253 | 08/26/16 23:49:40 | 49   | 49   | 7.732697809    | 5.736805689   |
| 279658:5253 | 08/27/16 01:35:19 | 713  | 713  | 97.035849003   | 94.227309686  |
| 279667:5254 | 08/27/16 09:08:23 | 966  | 966  | 218.139225584  | 210.966707656 |
| 279681:5256 | 08/27/16 21:57:02 | 35   | 28   | 8.364054729    | 6.746151220   |
| 279682:5256 | 08/27/16 22:11:02 | 47   | 47   | 12.396993492   | 7.864511046   |
| 279683:5256 | 08/27/16 22:32:16 | 34   | 31   | 8.833278247    | 6.434360365   |
| 279684:5256 | 08/27/16 22:46:58 | 34   | 30   | 8.630114207    | 5.362301941   |
| 279685:5256 | 08/27/16 23:07:12 | 208  | 208  | 50.571510081   | 48.949064954  |
| 279691:5257 | 08/28/16 03:41:26 | 54   | 50   | 13.428870526   | 9.765373369   |
| 279694:5257 | 08/28/16 04:03:09 | 2235 | 2235 | 422.637126547  | 410.524767765 |
| 279715:5258 | 08/28/16 22:01:34 | 577  | 577  | 134.594200028  | 129.165227546 |
| 279716:5258 | 08/29/16 02:17:06 | 1638 | 1638 | 265.251087354  | 258.407240551 |
| 279760:5261 | 08/29/16 20:21:24 | 664  | 658  | 162.292589678  | 155.199085021 |
| 279766:5261 | 08/30/16 01:08:36 | 1694 | 1690 | 279.515063049  | 270.889646887 |
| 279767:5261 | 08/30/16 12:08:03 | 776  | 776  | 92.636863447   | 90.583908406  |
| 279794:5264 | 08/30/16 23:41:02 | 1024 | 1024 | 232.460795925  | 225.486946739 |
| 279823:5265 | 08/31/16 10:00:39 | 335  | 335  | 85.329203984   | 82.750018812  |
| 279841:5266 | 08/31/16 15:23:17 | 2040 | 2040 | 396.657811091  | 384.216979056 |
| 279844:5267 | 09/01/16 07:21:16 | 233  | 224  | 62.263038620   | 57.240985651  |
| 279887:5270 | 09/01/16 23:20:52 | 319  | 319  | 78.037605666   | 74.126575474  |
| 279931:5274 | 09/02/16 11:37:39 | 2936 | 2936 | 495.181699387  | 479.950449652 |
| 279966:5275 | 09/03/16 09:20:25 | 363  | 363  | 98.086749086   | 94.085114050  |
| 279975:5276 | 09/03/16 14:45:09 | 1024 | 1024 | 250.777578361  | 241.662519616 |
