#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 315257:6615 | 04/26/18 21:09:40 | 90   | 90   | 8.327493356    | 7.954420938   |
| 315259:6615 | 04/26/18 21:54:51 | 172  | 172  | 14.333257343   | 13.965297086  |
| 315264:6616 | 04/27/18 02:45:32 | 230  | 230  | 41.379852035   | 39.661194148  |
| 315265:6616 | 04/27/18 04:20:05 | 55   | 55   | 9.316010606    | 6.451710054   |
| 315267:6616 | 04/27/18 04:59:11 | 244  | 244  | 38.233844193   | 37.157900860  |
| 315270:6616 | 04/27/18 06:44:15 | 633  | 633  | 80.809832848   | 79.025379873  |
| 315322:6617 | 04/27/18 14:41:34 | 1329 | 1329 | 184.537053852  | 180.319513737 |
| 315339:6618 | 04/28/18 03:06:24 | 618  | 618  | 95.832640960   | 93.485999579  |
| 315357:6620 | 04/28/18 19:32:25 | 776  | 776  | 156.003966103  | 152.051778813 |
| 315361:6621 | 04/29/18 03:17:57 | 580  | 580  | 122.655041237  | 118.685452749 |
| 315363:6621 | 04/29/18 07:08:34 | 86   | 86   | 14.920808691   | 14.507855701  |
| 315366:6621 | 04/29/18 08:43:30 | 736  | 736  | 101.944631448  | 100.364023777 |
| 315420:6624 | 04/29/18 23:54:09 | 1707 | 1707 | 264.365679354  | 258.765912005 |
| 315488:6628 | 04/30/18 19:08:38 | 802  | 802  | 195.533418546  | 190.296647999 |
| 315489:6628 | 05/01/18 02:09:59 | 691  | 691  | 105.163113042  | 103.361580779 |
| 315490:6628 | 05/01/18 06:53:23 | 24   | 24   | 2.548131648    | 2.514747750   |
| 315506:6629 | 05/01/18 10:08:39 | 88   | 88   | 29.334456946   | 27.872629630  |
| 315510:6629 | 05/01/18 11:10:29 | 345  | 345  | 106.539765618  | 102.909193930 |
| 315512:6629 | 05/01/18 13:27:08 | 1122 | 1122 | 240.699739728  | 236.277595497 |
| 315543:6633 | 05/02/18 04:09:49 | 117  | 117  | 37.764540941   | 36.792768099  |
| 315555:6636 | 05/02/18 09:42:48 | 76   | 76   | 24.246063359   | 21.881474144  |
| 315556:6636 | 05/02/18 10:15:53 | 26   | 26   | 8.947038610    | 8.367834905   |
| 315557:6636 | 05/02/18 10:30:09 | 279  | 279  | 86.014261743   | 83.882732357  |
| 315640:6638 | 05/02/18 21:31:41 | 42   | 42   | 14.826025380   | 10.442713201  |
| 315641:6638 | 05/02/18 21:56:12 | 4    | 4    | 1.515542948    | 1.230090442   |
| 315642:6638 | 05/02/18 22:03:16 | 92   | 92   | 32.552465152   | 31.275485942  |
| 315644:6638 | 05/02/18 22:42:00 | 184  | 184  | 64.512171816   | 62.892439349  |
| 315645:6638 | 05/02/18 23:58:43 | 583  | 583  | 164.380488026  | 160.478426063 |
| 315646:6638 | 05/03/18 03:51:56 | 1033 | 1033 | 194.548035420  | 191.085176272 |
| 315647:6638 | 05/03/18 10:38:46 | 58   | 58   | 8.609460836    | 7.965706338   |
| 315648:6638 | 05/03/18 11:04:01 | 110  | 110  | 15.416581202   | 15.130786987  |
| 315689:6639 | 05/03/18 14:58:22 | 1111 | 1111 | 337.642851483  | 328.361545143 |
| 315690:6639 | 05/03/18 22:39:08 | 645  | 645  | 120.622635958  | 118.471590623 |
| 315702:6640 | 05/04/18 08:08:15 | 76   | 76   | 24.419169573   | 22.685586667  |
| 315703:6640 | 05/04/18 08:40:27 | 545  | 545  | 162.639906913  | 157.241432354 |
| 315704:6640 | 05/04/18 12:15:58 | 61   | 61   | 15.085682941   | 14.659928189  |
| 315705:6640 | 05/04/18 12:42:46 | 698  | 698  | 133.953046645  | 131.715248426 |
| 315713:6641 | 05/04/18 19:35:25 | 1061 | 1061 | 363.496102938  | 351.555375618 |
| 315721:6642 | 05/05/18 05:08:14 | 589  | 589  | 217.387752933  | 209.490678254 |
| 315741:6643 | 05/05/18 11:57:43 | 59   | 59   | 25.098724830   | 23.604539161  |
| 315764:6645 | 05/05/18 15:48:29 | 273  | 273  | 118.679683406  | 113.604747108 |
| 315770:6646 | 05/06/18 02:20:23 | 294  | 294  | 125.761767625  | 121.358043490 |
| 315784:6648 | 05/06/18 11:07:00 | 126  | 126  | 53.458295582   | 51.553178564  |
| 315785:6648 | 05/06/18 12:23:07 | 303  | 303  | 109.038020541  | 105.639964991 |
| 315786:6648 | 05/06/18 14:25:10 | 72   | 72   | 22.641883739   | 21.774469220  |
| 315790:6648 | 05/06/18 18:12:51 | 921  | 921  | 176.208077769  | 172.467247670 |
| 315800:6650 | 05/07/18 06:55:20 | 581  | 581  | 212.228676111  | 205.338338766 |
| 315801:6650 | 05/07/18 10:57:12 | 344  | 344  | 100.630145671  | 98.041714311  |
